name,atk,level,EP,NA
Abyss Script - Abysstainment,0.0,1.0,50,62.0
Abyss Script - Dramatic Story,0.0,1.0,50,62.0
Abyss Script - Fantasy Magic,0.0,1.0,10,22.0
Abyss Script - Fire Dragon's Lair,0.0,1.0,20,32.0
Abyss Script - Opening Ceremony,0.0,1.0,50,62.0
Abyss Script - Rise of the Abyss King,0.0,1.0,30,42.0
Abyss Script - Romantic Terror,0.0,1.0,50,62.0
Abyss Shark,1200.0,5.0,40,54.4
Abyss Soldier,1800.0,4.0,-10,11.0
Abyss Stungray,0.0,1.0,30,42.0
Abyss Warrior,1800.0,4.0,-10,11.0
Abyss-scale of Cetus,0.0,1.0,20,32.0
Abyss-scale of the Kraken,0.0,1.0,20,32.0
Abyss-scale of the Mizuchi,0.0,1.0,20,32.0
Abyss-scorn,0.0,1.0,20,32.0
Abyss-sphere,0.0,1.0,50,62.0
Abyss-squall,0.0,1.0,30,42.0
Abyss-strom,0.0,1.0,0,12.0
Abyssal Designator,0.0,1.0,0,12.0
Abyssal Kingshark,1700.0,4.0,10,30.0
Accel Synchro Stardust Dragon,2500.0,8.0,20,46.5
Accel Synchron,500.0,5.0,40,47.4
Accellight,0.0,1.0,40,52.0
Accesscode Talker,2300.0,1.0,60,95.0
Accumulated Fortune,0.0,1.0,20,32.0
Achacha Archer,1200.0,3.0,40,56.0
Achacha Chanbara,1400.0,3.0,40,58.0
Achichi @Ignister,800.0,2.0,60,74.0
Acid Crawler,900.0,3.0,0,13.0
Acid Rain,0.0,1.0,10,22.0
Acid Trap Hole,0.0,1.0,10,22.0
Acidic Downpour,0.0,1.0,10,22.0
Acorno,200.0,1.0,20,34.0
Acrobat Monkey,1000.0,3.0,0,14.0
Acrobatic Magician,800.0,5.0,30,40.4
Action Magic - Double Banking,0.0,1.0,0,12.0
Action Magic - Full Turn,0.0,1.0,-10,2.0
Ad Libitum of Despia,1500.0,8.0,50,66.5
Adamancipator Analyzer,1500.0,4.0,20,38.0
Adamancipator Crystal - Dragite,0.0,4.0,40,43.0
Adamancipator Crystal - Leonite,0.0,4.0,20,23.0
Adamancipator Crystal - Raptite,0.0,4.0,20,23.0
Adamancipator Friends,0.0,1.0,20,32.0
Adamancipator Laputite,0.0,1.0,40,52.0
Adamancipator Relief,0.0,1.0,10,22.0
Adamancipator Researcher,100.0,2.0,20,27.0
Adamancipator Resonance,0.0,1.0,10,22.0
Adamancipator Risen - Dragite,3000.0,8.0,10,41.5
Adamancipator Risen - Leonite,2400.0,6.0,20,46.0
Adamancipator Risen - Raptite,2200.0,6.0,30,54.0
Adamancipator Seeker,1200.0,2.0,20,38.0
Adamancipator Signs,0.0,1.0,40,52.0
Additional Mirror Level 7,0.0,1.0,40,52.0
Adhesion Trap Hole,0.0,1.0,20,32.0
Adhesive Explosive,1000.0,3.0,10,24.0
"Adreus, Keeper of Armageddon",2600.0,5.0,10,38.4
Adularia of the June Moon,1000.0,5.0,60,72.4
Advance Draw,0.0,1.0,20,32.0
Advance Force,0.0,1.0,20,32.0
Advance Zone,0.0,1.0,50,62.0
Advanced Crystal Beast Amber Mammoth,1700.0,4.0,10,30.0
Advanced Crystal Beast Amethyst Cat,1200.0,3.0,30,46.0
Advanced Crystal Beast Cobalt Eagle,1400.0,4.0,30,47.0
Advanced Crystal Beast Emerald Tortoise,600.0,3.0,10,20.0
Advanced Crystal Beast Ruby Carbuncle,300.0,3.0,30,37.0
Advanced Crystal Beast Sapphire Pegasus,1800.0,4.0,40,61.0
Advanced Crystal Beast Topaz Tiger,1600.0,4.0,20,39.0
Advanced Dark,0.0,1.0,20,32.0
Advanced Heraldry Art,0.0,1.0,20,32.0
Advanced Ritual Art,0.0,1.0,40,52.0
Aegaion the Sea Castrum,0.0,8.0,20,21.5
Aegis of Gaia,0.0,1.0,20,32.0
Aegis of the Ocean Dragon Lord,0.0,1.0,10,22.0
Aerial Recharge,0.0,1.0,20,32.0
Aeropixthree,200.0,1.0,-10,4.0
"Aether, the Empowering Dragon",2300.0,6.0,20,45.0
"Aether, the Evil Empowering Dragon",2300.0,6.0,40,65.0
After the Storm,0.0,1.0,0,12.0
After the Struggle,0.0,1.0,10,22.0
Afterglow,0.0,1.0,50,62.0
Against the Wind,0.0,1.0,0,12.0
Agave Dragon,3000.0,1.0,50,92.0
Agido,1500.0,4.0,30,48.0
Agido the Ancient Sentinel,1500.0,4.0,20,38.0
Agnimal Candle,1700.0,4.0,40,60.0
"Ahrima, the Wicked Warden",1700.0,4.0,30,50.0
Aileron,0.0,1.0,50,62.0
Air Armor Ninja,1400.0,4.0,20,37.0
Air Cracking Storm,0.0,1.0,10,22.0
Air Eater,2100.0,6.0,0,23.0
Airknight Parshath,1900.0,5.0,40,61.4
Airorca,1400.0,3.0,20,38.0
Aitsu,100.0,5.0,0,3.4
"Aiwass, the Magistus Spell Spirit",2000.0,8.0,20,41.5
Akakieisu,1000.0,3.0,0,14.0
Akashic Magician,1700.0,1.0,20,49.0
Akihiron,1700.0,5.0,0,19.4
"Akz, the Pumer",1500.0,6.0,10,27.0
Al-Lumi'raj,1600.0,3.0,-10,10.0
Alba-Lenatus the Abyss Dragon,2500.0,8.0,40,66.5
Albaz the Ashen,1800.0,4.0,40,61.0
Albion the Branded Dragon,2500.0,8.0,50,76.5
Albion the Sanctifire Dragon,3000.0,8.0,20,51.5
Albion the Shrouded Dragon,2500.0,8.0,40,66.5
Alchemic Magician,1500.0,4.0,40,58.0
Alchemist of Black Spells,1200.0,4.0,0,15.0
Alchemy Cycle,0.0,1.0,30,42.0
"Alector, Sovereign of Birds",2400.0,6.0,20,46.0
"Aleirtt, the Ogdoadic Dark",2000.0,8.0,30,51.5
Aleister the Invoker,1000.0,4.0,60,73.0
Aleister the Invoker of Madness,1800.0,1.0,30,60.0
ALERT!,0.0,1.0,20,32.0
Alexandrite Dragon,2000.0,4.0,0,23.0
Alghoul Mazera,2800.0,8.0,40,69.5
"Alice, Lady of Lament",0.0,3.0,60,64.0
"Alich, Malebranche of the Burning Abyss",1200.0,3.0,30,46.0
Alien Ammonite,500.0,1.0,30,47.0
Alien Brain,0.0,1.0,10,22.0
Alien Dog,1500.0,3.0,20,39.0
Alien Grey,300.0,2.0,20,29.0
Alien Hunter,1600.0,4.0,30,49.0
Alien Hypno,1600.0,4.0,30,49.0
Alien Infiltrator,800.0,2.0,0,14.0
Alien Kid,1600.0,4.0,10,29.0
Alien Mars,1000.0,3.0,0,14.0
Alien Mother,2300.0,6.0,30,55.0
Alien Overlord,2200.0,6.0,10,34.0
Alien Psychic,200.0,1.0,20,34.0
Alien Shocktrooper,1900.0,4.0,0,22.0
Alien Shocktrooper M-Frame,1900.0,1.0,20,51.0
Alien Skull,1600.0,4.0,10,29.0
Alien Stealthbuster,1700.0,4.0,20,40.0
Alien Telepath,1600.0,4.0,0,19.0
Alien Warrior,1800.0,4.0,0,21.0
Alinsection,950.0,3.0,0,13.5
All-Eyes Phantom Dragon,3000.0,10.0,40,71.2
All-Out Attacks,0.0,1.0,20,32.0
Alligator's Sword,1500.0,4.0,0,18.0
Alligator's Sword Dragon,1700.0,5.0,0,19.4
Allure of Darkness,0.0,1.0,30,42.0
Allure Queen LV3,500.0,3.0,30,39.0
Allure Queen LV5,1000.0,5.0,30,42.4
Allure Queen LV7,1500.0,7.0,30,46.714285714285715
Alluring Mirror Split,0.0,1.0,50,62.0
Allvain the Essence of Vanity,0.0,2.0,0,6.0
Ally Mind,1800.0,5.0,0,20.4
Ally of Justice Catastor,2200.0,5.0,10,34.4
Ally of Justice Clausolas,2300.0,6.0,0,25.0
Ally of Justice Core Destroyer,1200.0,3.0,10,26.0
Ally of Justice Cosmic Gateway,2400.0,8.0,20,45.5
Ally of Justice Cycle Reader,1000.0,3.0,0,14.0
Ally of Justice Cyclone Creator,1400.0,3.0,-10,8.0
Ally of Justice Decisive Armor,3300.0,10.0,30,64.2
Ally of Justice Enemy Catcher,1800.0,6.0,20,40.0
Ally of Justice Field Marshal,2900.0,9.0,50,80.33333333333333
Ally of Justice Garadholg,1600.0,4.0,20,39.0
Ally of Justice Light Gazer,2400.0,8.0,20,45.5
Ally of Justice Nullfier,1600.0,4.0,0,19.0
Ally of Justice Omni-Weapon,2200.0,5.0,50,74.4
Ally of Justice Quarantine,1700.0,4.0,20,40.0
Ally of Justice Reverse Break,1200.0,4.0,10,25.0
Ally of Justice Rudra,1900.0,5.0,20,41.4
Ally of Justice Searcher,1400.0,3.0,-10,8.0
Ally of Justice Thousand Arms,1700.0,4.0,10,30.0
Ally of Justice Thunder Armor,2700.0,8.0,40,68.5
Ally of Justice Unknown Crusher,1200.0,3.0,0,16.0
Ally of Justice Unlimiter,600.0,2.0,0,12.0
Ally Salvo,400.0,2.0,10,20.0
Aloof Lupine,1700.0,4.0,60,80.0
"Alpacaribou, Mystical Beast of the Forest",2700.0,7.0,10,38.714285714285715
Alpha Summon,0.0,1.0,30,42.0
Alpha The Electromagnet Warrior,1700.0,3.0,40,61.0
Alpha The Magnet Warrior,1400.0,4.0,0,17.0
"Alpha, the Master of Beasts",3000.0,8.0,20,51.5
"Alsei, the Sylvan High Protector",2300.0,8.0,20,44.5
Altar for Tribute,0.0,1.0,0,12.0
Altergeist Adminia,3000.0,1.0,40,82.0
Altergeist Camouflage,0.0,1.0,20,32.0
Altergeist Dragvirion,2200.0,6.0,20,44.0
Altergeist Emulatelf,0.0,1.0,30,42.0
Altergeist Failover,0.0,1.0,40,52.0
Altergeist Fifinellag,0.0,2.0,0,6.0
Altergeist Fijialert,1400.0,4.0,20,37.0
Altergeist Haunted Rock,0.0,1.0,10,22.0
Altergeist Hexstia,1500.0,1.0,50,77.0
Altergeist Kidolga,1000.0,1.0,50,72.0
Altergeist Kunquery,0.0,5.0,20,22.4
Altergeist Malwisp,1500.0,3.0,40,59.0
Altergeist Manifestation,0.0,1.0,40,52.0
Altergeist Marionetter,1600.0,4.0,40,59.0
Altergeist Meluseek,500.0,1.0,40,57.0
Altergeist Memorygant,2800.0,1.0,40,80.0
Altergeist Multifaker,1200.0,3.0,40,56.0
Altergeist Peritrator,500.0,1.0,40,57.0
Altergeist Pixiel,100.0,1.0,0,13.0
Altergeist Pookuery,300.0,1.0,20,35.0
Altergeist Primebanshee,2100.0,1.0,40,73.0
Altergeist Protocol,0.0,1.0,10,22.0
Altergeist Revitalization,0.0,1.0,30,42.0
Altergeist Silquitous,800.0,2.0,0,14.0
Altitude Knight,1400.0,4.0,20,37.0
Aluber the Jester of Despia,1800.0,4.0,50,71.0
Alviss of the Nordic Alfar,1500.0,4.0,50,68.0
Amabie,0.0,3.0,20,24.0
Amano-Iwato,1900.0,4.0,20,42.0
Amanokujaki,1000.0,3.0,20,34.0
Amarylease,100.0,1.0,30,43.0
Amaterasu,3000.0,9.0,50,81.33333333333333
Amatsu-Okami of the Divine Peaks,3000.0,1.0,20,62.0
Amaze Attraction Cyclo-Coaster,0.0,1.0,20,32.0
Amaze Attraction Horror House,0.0,1.0,0,12.0
Amaze Attraction Majestic Merry-Go-Round,0.0,1.0,20,32.0
Amaze Attraction Rapid Racing,0.0,1.0,0,12.0
Amaze Attraction Thrill Train,0.0,1.0,10,22.0
Amaze Attraction Viking Vortex,0.0,1.0,0,12.0
Amaze Attraction Wonder Wheel,0.0,1.0,20,32.0
Amazement Abomination Arlekino,2600.0,7.0,40,67.71428571428572
Amazement Administrator Arlekino,2600.0,7.0,60,87.71428571428572
Amazement Ambassador Bufo,1600.0,3.0,20,40.0
Amazement Assistant Delia,1800.0,4.0,40,61.0
Amazement Attendant Comica,1400.0,4.0,40,57.0
Amazement Family Faces,0.0,1.0,20,32.0
Amazement Precious Park,0.0,1.0,10,22.0
Amazement Special Show,0.0,1.0,20,32.0
Amazing Pendulum,0.0,1.0,0,12.0
Amazing Time Ticket,0.0,1.0,20,32.0
Amazon of the Seas,1300.0,4.0,0,16.0
Amazoness Archer,1400.0,4.0,20,37.0
Amazoness Archers,0.0,1.0,-10,2.0
Amazoness Augusta,3200.0,10.0,50,83.2
Amazoness Baby Tiger,500.0,2.0,40,51.0
Amazoness Blowpiper,800.0,3.0,-10,2.0
Amazoness Call,0.0,1.0,30,42.0
Amazoness Chain Master,1500.0,4.0,10,28.0
Amazoness Empress,2800.0,8.0,50,79.5
Amazoness Fighter,1500.0,4.0,0,18.0
Amazoness Fighting Spirit,0.0,1.0,20,32.0
Amazoness Golden Whip Master,2000.0,5.0,50,72.4
Amazoness Hall,0.0,1.0,40,52.0
Amazoness Heirloom,0.0,1.0,10,22.0
Amazoness Hot Spring,0.0,1.0,40,52.0
Amazoness Onslaught,0.0,1.0,60,72.0
Amazoness Paladin,1700.0,4.0,20,40.0
Amazoness Pet Liger,2500.0,7.0,10,36.714285714285715
Amazoness Pet Liger King,2900.0,9.0,30,60.33333333333333
Amazoness Princess,1200.0,3.0,40,56.0
Amazoness Queen,2400.0,6.0,10,36.0
Amazoness Sage,1400.0,4.0,10,27.0
Amazoness Scouts,500.0,2.0,10,21.0
Amazoness Secret Arts,0.0,1.0,30,42.0
Amazoness Shamanism,0.0,1.0,30,42.0
Amazoness Silver Sword Master,1200.0,3.0,50,66.0
Amazoness Spellcaster,0.0,1.0,0,12.0
Amazoness Spiritualist,800.0,2.0,40,54.0
Amazoness Spy,800.0,3.0,30,42.0
Amazoness Swords Woman,1500.0,4.0,0,18.0
Amazoness Tiger,1100.0,4.0,20,34.0
Amazoness Trainee,1500.0,4.0,30,48.0
Amazoness Village,0.0,1.0,70,82.0
Amazoness War Chief,1900.0,5.0,40,61.4
Amazoness Willpower,0.0,1.0,30,42.0
Ambitious Gofer,2400.0,6.0,10,36.0
Ambulance Rescueroid,2300.0,6.0,30,55.0
Ambulanceroid,300.0,3.0,20,27.0
Ambush Fangs,0.0,1.0,0,12.0
Ameba,300.0,1.0,20,35.0
Amores of Prophecy,600.0,3.0,20,30.0
"Amorphactor Pain, the Imagination Dracoverlord",2950.0,8.0,40,71.0
Amorphage Envy,0.0,4.0,30,33.0
Amorphage Gluttony,0.0,2.0,30,36.0
Amorphage Goliath,2750.0,8.0,40,69.0
Amorphage Greed,0.0,4.0,30,33.0
Amorphage Infection,0.0,1.0,50,62.0
Amorphage Lechery,1350.0,2.0,30,49.5
Amorphage Lysis,0.0,1.0,20,32.0
Amorphage Pride,1750.0,4.0,30,50.5
Amorphage Sloth,2250.0,6.0,50,74.5
Amorphage Wrath,1650.0,4.0,30,49.5
Amorphous Persona,0.0,1.0,70,82.0
Amphibian Beast,2400.0,6.0,0,26.0
Amphibious Bugroth,1850.0,5.0,0,20.9
Amphibious Bugroth MK-11,1850.0,5.0,30,50.9
Amphibious Bugroth MK-3,1500.0,4.0,0,18.0
Amphibious Swarmship Amblowhale,2600.0,1.0,60,98.0
Amplifier,0.0,1.0,10,22.0
Amulet Dragon,2900.0,8.0,60,90.5
Amulet of Ambition,0.0,1.0,20,32.0
"Amunessia, the Ogdoadic Queen",2700.0,8.0,20,48.5
An Owl of Luck,300.0,2.0,20,29.0
An Unfortunate Report,0.0,1.0,0,12.0
Anarchist Monk Ranshin,1800.0,4.0,20,41.0
Anchamoufrite,1800.0,5.0,60,80.4
Ancient Brain,1000.0,3.0,0,14.0
Ancient Chant,0.0,1.0,70,82.0
Ancient City - Rainbow Ruins,0.0,1.0,50,62.0
Ancient Crimson Ape,2600.0,7.0,30,57.714285714285715
Ancient Dragon,1400.0,4.0,20,37.0
Ancient Elf,1450.0,4.0,20,37.5
Ancient Fairy Dragon,2100.0,7.0,70,92.71428571428572
Ancient Flamvell Deity,2500.0,7.0,40,66.71428571428572
Ancient Forest,0.0,1.0,10,22.0
Ancient Fusion,0.0,1.0,10,22.0
Ancient Gear,100.0,2.0,20,27.0
Ancient Gear Ballista,1500.0,1.0,50,77.0
Ancient Gear Beast,2000.0,6.0,30,52.0
Ancient Gear Box,500.0,4.0,40,48.0
Ancient Gear Cannon,500.0,2.0,20,31.0
Ancient Gear Castle,0.0,1.0,40,52.0
Ancient Gear Catapult,0.0,1.0,60,72.0
Ancient Gear Drill,0.0,1.0,10,22.0
Ancient Gear Engineer,1500.0,5.0,10,27.4
Ancient Gear Explosive,0.0,1.0,30,42.0
Ancient Gear Factory,0.0,1.0,30,42.0
Ancient Gear Fist,0.0,1.0,10,22.0
Ancient Gear Fortress,0.0,1.0,30,42.0
Ancient Gear Frame,1600.0,4.0,30,49.0
Ancient Gear Fusion,0.0,1.0,40,52.0
Ancient Gear Gadget,500.0,4.0,20,28.0
Ancient Gear Gadjiltron Chimera,2300.0,6.0,70,95.0
Ancient Gear Gadjiltron Dragon,3000.0,8.0,70,101.5
Ancient Gear Golem,3000.0,8.0,40,71.5
Ancient Gear Golem - Ultimate Pound,3000.0,8.0,80,111.5
Ancient Gear Howitzer,1000.0,8.0,70,81.5
Ancient Gear Hunting Hound,1000.0,3.0,40,54.0
Ancient Gear Hydra,2700.0,7.0,40,68.71428571428572
Ancient Gear Knight,1800.0,4.0,20,41.0
Ancient Gear Megaton Golem,3300.0,9.0,20,54.333333333333336
Ancient Gear Reactor Dragon,3000.0,9.0,50,81.33333333333333
Ancient Gear Reborn,0.0,1.0,40,52.0
Ancient Gear Soldier,1300.0,4.0,0,16.0
Ancient Gear Tank,0.0,1.0,50,62.0
Ancient Gear Token,0.0,1.0,0,12.0
Ancient Gear Workshop,0.0,1.0,0,12.0
Ancient Gear Wyvern,1700.0,4.0,40,60.0
Ancient Jar,400.0,1.0,0,16.0
Ancient Lamp,900.0,3.0,20,33.0
Ancient Leaf,0.0,1.0,20,32.0
Ancient Lizard Warrior,1400.0,4.0,0,17.0
Ancient One of the Deep Forest,1800.0,6.0,0,20.0
Ancient Pixie Dragon,2100.0,7.0,30,52.714285714285715
Ancient Ruler Rises,0.0,1.0,50,62.0
Ancient Rules,0.0,1.0,20,32.0
Ancient Sacred Wyvern,2100.0,7.0,40,62.714285714285715
Ancient Sorcerer,1000.0,4.0,0,13.0
Ancient Telescope,0.0,1.0,0,12.0
Ancient Tool,1700.0,5.0,0,19.4
Ancient Tree of Enlightenment,600.0,3.0,0,10.0
Ancient Warriors - Ambitious Cao De,3000.0,8.0,30,61.5
Ancient Warriors - Deceptive Jia Wen,1100.0,4.0,10,24.0
Ancient Warriors - Eccentric Lu Jing,700.0,4.0,10,20.0
Ancient Warriors - Fearsome Zhang Yuan,2300.0,6.0,20,45.0
Ancient Warriors - Graceful Zhou Gong,1600.0,4.0,20,39.0
Ancient Warriors - Ingenious Zhuge Kong,1000.0,4.0,20,33.0
Ancient Warriors - Loyal Guan Yun,2500.0,7.0,30,56.714285714285715
Ancient Warriors - Masterful Sun Mou,1800.0,4.0,20,41.0
Ancient Warriors - Rebellious Lu Feng,2800.0,8.0,30,59.5
Ancient Warriors - Savage Don Ying,2200.0,6.0,70,94.0
Ancient Warriors - Valiant Zhang De,2700.0,7.0,40,68.71428571428572
Ancient Warriors - Virtuous Liu Xuan,1400.0,4.0,60,77.0
Ancient Warriors Oath - Double Dragon Lords,1100.0,1.0,60,83.0
Ancient Warriors Saga - Borrowing of Arrows,0.0,1.0,0,12.0
Ancient Warriors Saga - Chivalrous Path,0.0,1.0,40,52.0
Ancient Warriors Saga - Deception and Betrayal,0.0,1.0,20,32.0
Ancient Warriors Saga - Defense of Changban,0.0,1.0,50,62.0
Ancient Warriors Saga - East-by-South Winds,0.0,1.0,30,42.0
Ancient Warriors Saga - Sun-Liu Alliance,0.0,1.0,40,52.0
Ancient Warriors Saga - Three Visits,0.0,1.0,40,52.0
And the Band Played On,0.0,1.0,20,32.0
Andro Sphinx,3000.0,10.0,50,81.2
Anesthrokket Dragon,0.0,1.0,50,62.0
Angel O1,200.0,1.0,40,54.0
Angel O7,2500.0,7.0,40,66.71428571428572
Angel of Blue Tears,0.0,1.0,30,42.0
Angel of Zera,2800.0,8.0,50,79.5
Angel Ring,0.0,1.0,30,42.0
Angel Statue - Azurune,0.0,1.0,30,42.0
Angel Trumpeter,1900.0,4.0,0,22.0
"Angelic-Demonic Selector - ""Valmonica""",0.0,1.0,20,32.0
"Angelica, Princess of Noble Arms",1200.0,5.0,50,64.4
Angelo Valmonica,1200.0,4.0,60,75.0
Angmarl the Fiendish Monarch,2400.0,6.0,50,76.0
Angraecum Umbrella,500.0,3.0,10,19.0
Animadorned Archosaur,0.0,1.0,50,62.0
Ankuriboh,300.0,1.0,40,55.0
Annihilator Archfiend,2000.0,9.0,30,51.33333333333333
Anotherverse Dragon,2500.0,8.0,0,26.5
Anotherverse Gluttonia,2500.0,8.0,0,26.5
Ansatsu,1700.0,5.0,0,19.4
Ante,0.0,1.0,0,12.0
Anteatereatingant,2000.0,5.0,30,52.4
Anthrosaurus,1000.0,3.0,0,14.0
Anti Raigeki,0.0,1.0,10,22.0
Anti-Aircraft Flower,0.0,3.0,20,24.0
Anti-Fusion Device,0.0,1.0,10,22.0
Anti-Magic Arrows,0.0,1.0,0,12.0
Anti-Magic Prism,0.0,1.0,10,22.0
Anti-Spell,0.0,1.0,10,22.0
Anti-Spell Fragrance,0.0,1.0,0,12.0
Antialian,1900.0,4.0,40,62.0
Antihuman Intelligence ME-PSY-YA,2500.0,8.0,30,56.5
Ape Fighter,1900.0,4.0,30,52.0
Ape Magician,800.0,3.0,20,32.0
Apex Predation,0.0,1.0,30,42.0
Apocatequil,1800.0,4.0,30,51.0
"Apollousa, Bow of the Goddess",0.0,1.0,10,22.0
Apophis the Swamp Deity,0.0,1.0,20,32.0
Apoqliphort Skybase,2900.0,9.0,20,50.33333333333333
Apoqliphort Towers,3000.0,10.0,10,41.2
Apparition,0.0,1.0,50,62.0
Apple Magician Girl,1200.0,3.0,30,46.0
Apple of Enlightenment,0.0,1.0,30,42.0
Appliancer Breakerbuncle,0.0,1.0,10,22.0
Appliancer Celtopus,0.0,1.0,50,62.0
Appliancer Conversion,0.0,1.0,30,42.0
Appliancer Copybokkle,0.0,1.0,30,42.0
Appliancer Dryer Drake,0.0,1.0,40,52.0
Appliancer Electrilyrical World,0.0,1.0,40,52.0
Appliancer Kappa Scale,0.0,1.0,20,32.0
Appliancer Laundry Dragon,1500.0,1.0,60,87.0
Appliancer Propelion,1200.0,1.0,20,44.0
Appliancer Reuse,0.0,1.0,20,32.0
Appliancer Socketroll,100.0,1.0,40,53.0
Appliancer Test,0.0,1.0,30,42.0
Appliancer Vacculephant,1000.0,1.0,30,52.0
Appointer of the Red Lotus,0.0,1.0,0,12.0
Apprentice Illusion Magician,2000.0,6.0,50,72.0
Apprentice Magician,400.0,2.0,50,60.0
Apprentice Piper,100.0,2.0,30,37.0
Appropriate,0.0,1.0,20,32.0
Aqua Armor Ninja,800.0,4.0,10,21.0
Aqua Chorus,0.0,1.0,0,12.0
Aqua Chorus Round,0.0,1.0,30,42.0
Aqua Dragon,2250.0,6.0,0,24.5
Aqua Jet,0.0,1.0,20,32.0
Aqua Madoor,1200.0,4.0,0,15.0
Aqua Snake,1050.0,3.0,20,34.5
Aqua Spirit,1600.0,4.0,20,39.0
Aqua Story - Urashima,0.0,1.0,0,12.0
Aquaactress Arowana,2000.0,6.0,20,42.0
Aquaactress Guppy,600.0,2.0,20,32.0
Aquaactress Tetra,300.0,1.0,20,35.0
Aquamirror Cycle,0.0,1.0,0,12.0
Aquamirror Illusion,0.0,1.0,20,32.0
Aquamirror Meditation,0.0,1.0,0,12.0
Aquarian Alessa,1500.0,4.0,20,38.0
